"id","symbol","name","sector","price","price_earnings","dividend_yield","earnings_share","low_52_week","high_52_week","market_cap","ebitda","price_sales","price_book","sec_filings"
"1","MMM","3M Company","Industrials","222.89","24.31","2.332862","7.92","259.77","175.49","138721055226.0","9048000000.0","4.390271","11.34","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM"
"2","AOS","A.O. Smith Corp","Industrials","60.24","27.76","1.147959","1.7","68.39","48.93","10783419933.0","601000000.0","3.575483","6.35","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS"
"3","ABT","Abbott Laboratories","Health Care","56.27","22.51","1.908982","0.26","64.6","42.28","102121042306.0","5744000000.0","3.74048","3.19","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT"
"4","ABBV","AbbVie Inc.","Health Care","108.48","19.41","2.49956","3.29","125.86","60.05","181386347059.0","10310000000.0","6.291571","26.14","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV"
"5","ACN","Accenture plc","Information Technology","150.51","25.47","1.71447","5.44","162.6","114.82","98765855553.0","5643228000.0","2.604117","10.62","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN"
"6","ATVI","Activision Blizzard","Information Technology","65.83","31.8","0.431903","1.28","74.95","38.93","52518668144.0","2704000000.0","10.59512","5.16","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI"
"7","AYI","Acuity Brands Inc","Industrials","145.41","18.22","0.351185","7.43","225.36","142.0","6242377704.0","587800000.0","1.795347","3.55","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI"
"8","ADBE","Adobe Systems Inc","Information Technology","185.16","52.31","0.0","3.39","204.45","114.45","94550214268.0","2538040000.0","13.092818","11.06","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE"
"9","AAP","Advance Auto Parts","Consumer Discretionary","109.63","19.54","0.218321","6.19","169.55","78.81","8123611867.0","853941000.0","1.130106","2.51","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP"
"10","AMD","Advanced Micro Devices Inc","Information Technology","11.22","187.0","0.0","0.03","15.65","9.7","11191663795.0","339000000.0","2.109196","21.47","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD"
"11","AES","AES Corp","Utilities","10.06","9.96","4.961832","-1.72","12.05","10.0","6920851212.0","3001000000.0","0.659514","2.2","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES"
"12","AET","Aetna Inc","Health Care","178.0","18.11","1.101989","5.75","194.4","119.51","59197016353.0","4139000000.0","0.992355","3.79","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET"
"13","AMG","Affiliated Managers Group Inc","Financials","179.11","12.24","0.63874","12.07","217.0","148.81","10442174371.0","1261400000.0","4.591235","2.89","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG"
"14","AFL","AFLAC Inc","Financials","83.25","12.24","2.429907","11.01","91.73","68.8","33422948000.0","0.0","1.542934","1.53","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL"
"15","A","Agilent Technologies Inc","Health Care","65.05","27.45","0.875698","2.1","75.0","49.23","21984606918.0","1094000000.0","6.493563","4.56","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A"
"16","APD","Air Products & Chemicals Inc","Materials","152.8","24.22","2.781114","13.66","175.17","133.63","34638387128.0","2542500000.0","4.116368","3.35","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD"
"17","AKAM","Akamai Technologies Inc","Information Technology","62.49","32.55","0.0","1.79","69.56","44.65","10906904066.0","789517000.0","5.854652","3.25","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM"
"18","ALK","Alaska Air Group Inc","Industrials","64.04","9.66","1.992838","8.28","101.43","59.25","7903173734.0","1665000000.0","0.980109","2.21","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK"
"19","ALB","Albemarle Corp","Materials","105.18","26.03","1.200413","5.66","144.99","90.35","11782151266.0","686030000.0","5.366621","2.98","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB"
"20","ARE","Alexandria Real Estate Equities Inc","Real Estate","114.58","19.03","3.026227","1.57","134.37","106.89","12043374429.0","0.0","10.492155","2.07","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE"
"21","ALXN","Alexion Pharmaceuticals","Health Care","108.47","22.18","0.0","1.77","149.34","96.18","26172439795.0","1072000000.0","9.720562","2.82","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN"
"22","ALGN","Align Technology","Health Care","220.71","56.59","0.0","2.84","287.32","92.61","18788041378.0","380326000.0","13.138819","16.44","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN"
"23","ALLE","Allegion","Industrials","77.32","21.07","0.8004","2.37","89.81","66.72","7599609494.0","531800000.0","4.265232","20.48","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE"
"24","AGN","Allergan, Plc","Health Care","164.2","10.65","1.643289","38.35","256.8","160.07","56668833898.0","-2888100000.0","4.820115","0.83","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN"
"25","ADS","Alliance Data Systems","Information Technology","240.6","13.02","0.924012","14.13","278.33","209.0","13632608582.0","2143200000.0","1.72823","8.28","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADS"
